experiment_id,variant_name,model_name,pretrainer,dataset,freeze_encoder,encoder_type,scorer_type,weakly_supervision,config_type,model_cate,architecture,input_dim,latent_dim,components_used
065cddbc-520b-465e-8bde-66fce04a3640,feature_ae_loss_scorer,feawad,True,nslkdd,,,scoring_network,30,feawad_default_configs,benchmark,AE,122,64,"['feature', 'ae', 'loss', 'scorer']"
8932e302-a344-4e2a-973a-7109f35a8220,feature_ae_loss_scorer,feawad,True,nslkdd,,,scoring_network,60,feawad_default_configs,benchmark,AE,122,64,"['feature', 'ae', 'loss', 'scorer']"
7489cbf1-bb4c-49bb-80b0-11b2d69cf2d7,feature_ae_loss_scorer,feawad,True,nslkdd,,,scoring_network,90,feawad_default_configs,benchmark,AE,122,64,"['feature', 'ae', 'loss', 'scorer']"
847899dc-9ceb-46e1-904d-820778c1ebc1,feature_ae_loss_scorer,feawad,True,nslkdd,,,scoring_network,120,feawad_default_configs,benchmark,AE,122,64,"['feature', 'ae', 'loss', 'scorer']"
7f932991-8a5f-4765-9154-97fb8ebc7b9e,feature_ae_loss_scorer,feawad,True,spambase,,,scoring_network,30,feawad_default_configs,benchmark,AE,57,64,"['feature', 'ae', 'loss', 'scorer']"
d92a57c3-30c7-47f0-86fb-0074dafbab36,feature_ae_loss_scorer,feawad,True,spambase,,,scoring_network,60,feawad_default_configs,benchmark,AE,57,64,"['feature', 'ae', 'loss', 'scorer']"
acdf33a7-be09-4f53-a698-56dccaa098fa,feature_ae_loss_scorer,feawad,True,spambase,,,scoring_network,90,feawad_default_configs,benchmark,AE,57,64,"['feature', 'ae', 'loss', 'scorer']"
f44242c3-2b14-4ade-b14e-27d8bc5ed841,feature_ae_loss_scorer,feawad,True,spambase,,,scoring_network,120,feawad_default_configs,benchmark,AE,57,64,"['feature', 'ae', 'loss', 'scorer']"
ebb18f46-ff81-4962-9620-49a485218834,feature_ae_loss_scorer,feawad,True,arrhythmia,,,scoring_network,15,feawad_default_configs,benchmark,AE,279,64,"['feature', 'ae', 'loss', 'scorer']"
297fa772-575d-4491-a78c-2161a10644f5,feature_ae_loss_scorer,feawad,True,cardio,,,scoring_network,30,feawad_default_configs,benchmark,AE,21,64,"['feature', 'ae', 'loss', 'scorer']"
d53cf4ec-0c67-4a08-b449-0338681166fc,feature_ae_loss_scorer,feawad,True,cardio,,,scoring_network,60,feawad_default_configs,benchmark,AE,21,64,"['feature', 'ae', 'loss', 'scorer']"
719419d1-286e-4240-ad0e-ac463bfe1bc4,feature_ae_loss_scorer,feawad,True,cardio,,,scoring_network,90,feawad_default_configs,benchmark,AE,21,64,"['feature', 'ae', 'loss', 'scorer']"
b2782dd9-0f71-49e6-b1ee-770e07c92436,feature_ae_loss_scorer,feawad,True,cardio,,,scoring_network,120,feawad_default_configs,benchmark,AE,21,64,"['feature', 'ae', 'loss', 'scorer']"
54196750-c85b-44ac-8272-ebe5384a0f20,feature_ae_loss_scorer,feawad,True,satellite,,,scoring_network,30,feawad_default_configs,benchmark,AE,36,64,"['feature', 'ae', 'loss', 'scorer']"
0a4e4a3f-323f-41e1-a659-6f7572c8e3d7,feature_ae_loss_scorer,feawad,True,satellite,,,scoring_network,60,feawad_default_configs,benchmark,AE,36,64,"['feature', 'ae', 'loss', 'scorer']"
